Location,Total_Land_Area_acres,Number_of_Cows,Farm_Size,Date,Product_ID,Product_Name,Brand,Quantity_liters&kg,Price_per_Unit,Total_Value,Shelf_Life_days,Storage_Condition,Production_Date,Expiration_Date,Quantity_Sold_liters&kg,Price_per_Unit_sold,Approx_Total Revenue_INR,Customer_Location,Sales_Channel,Quantity_in_Stock_liters&kg,Minimum_Stock_Threshold_liters&kg,Reorder_Quantity_liters&kg,Stock_check,Deliver_expire_product
Telangana,310.84,96,Medium,2/17/2022,5,Ice Cream,Dodla Dairy,222.4,85.72,19064.13,25,Frozen,12/27/2021,1/21/2022,7,82.24,575.68,Madhya Pradesh,Wholesale,215,19.55,64.03,SAFE,NO
Uttar Pradesh,19.19,44,Large,12/1/2021,1,Milk,Amul,687.48,42.61,29293.52,22,Tetra Pack,10/3/2021,10/25/2021,558,39.24,21895.92,Kerala,Wholesale,129,43.17,181.1,SAFE,NO
Tamil Nadu,581.69,24,Medium,2/28/2022,4,Yogurt,Dodla Dairy,503.48,36.5,18377.02,30,Refrigerated,1/14/2022,2022/02/13,256,33.81,8655.36,Madhya Pradesh,Online,247,15.1,140.83,SAFE,NO
Telangana,908.0,89,Small,6/9/2019,3,Cheese,Britannia Industries,823.36,,21835.51,72,Frozen,5/15/2019,7/26/2019,601,28.92,17380.92,Rajasthan,Online,222,74.5,57.68,SAFE,YES
Maharashtra,861.95,21,Medium,12/14/2020,8,Buttermilk,,147.77,83.85,12390.51,11,Refrigerated,10/17/2020,10/28/2020,145,83.07,12045.15,Jharkhand,Retail,2,76.02,33.4,IN DANGER,NO
Telangana,87.64,51,Medium,1/7/2019,6,Curd,Raj,593.92,85.54,50803.92,5,Refrigerated,1/3/2019,1/8/2019,74,84.75,6271.5,Gujarat,Retail,519,55.6,139.59,SAFE,YES
Karnataka,73.28,74,Small,8/5/2022,3,Cheese,Dynamix Dairies,757.14,36.83,27885.47,83,Frozen,6/14/2022,9/5/2022,410,32.66,13390.6,Karnataka,Online,347,49.82,105.86,SAFE,YES
Bihar,67.61,77,Medium,2/14/2019,9,Paneer,Mother Dairy,203.36,29.08,5913.71,14,Refrigerated,1/6/2019,1/20/2019,15,29.09,436.35,Haryana,Online,188,10.9,25.14,SAFE,NO
West Bengal,72.31,76,Medium,8/2/2020,6,Curd,Raj,949.12,22.79,21630.44,6,Refrigerated,6/6/2020,6/12/2020,860,24.77,21302.2,Jharkhand,Wholesale,89,85.71,32.03,SAFE,NO
Telangana,413.24,36,Large,3/4/2022,8,Buttermilk,Mother Dairy,385.64,42.08,16227.73,9,Refrigerated,2/3/2022,2/12/2022,108,46.15,4984.2,Tamil Nadu,Retail,277,93.61,66.26,SAFE,NO
Madhya Pradesh,867.78,82,Small,12/22/2021,4,Yogurt,Dodla Dairy,52.62,67.23,3537.64,24,Refrigerated,11/2/2021,26/11/2021,22,68.09,1497.98,Kerala,Wholesale,30,81.34,118.57,IN DANGER,NO
Chandigarh,648.52,99,Small,10/14/2020,7,Lassi,Sudha,653.04,84.6,55247.18,14,Refrigerated,8/22/2020,9/5/2020,345,88.05,30377.25,Karnataka,Online,308,26.65,24.68,SAFE,NO
Delhi,236.72,81,Large,2/18/2020,3,Cheese,Passion Cheese,12.39,58.28,722.09,69,Refrigerated,1/18/2020,27/03/2020,1,58.09,58.09,West Bengal,Retail,11,31.99,69.19,IN DANGER,YES
Telangana,856.0,39,Large,12/26/2019,5,Ice Cream,Mother Dairy,-612.16,94.43,57806.27,25,,15/12/2019,1/9/2020,80,94.32,7545.6,Madhya Pradesh,Online,532,47.95,198.99,SAFE,YES
Gujarat,182.28,70,Medium,4/10/2022,5,Ice Cream,Dodla Dairy,797.69,88.66,70723.2,28,Freezer,3/26/2022,4/23/2022,645,93.51,60313.95,Karnataka,Retail,152,83.86,144.3,SAFE,YES
Kerala,14.97,71,Small,2/22/2020,1,Milk,Mother Dairy,821.52,11.58,9513.2,1,Polythene Packet,1/31/2020,2/1/2020,778,8.69,6760.82,Gujarat,Retail,43,89.45,28.11,IN DANGER,NO
Madhya Pradesh,233.62,95,Large,12/17/2022,10,Ghee,Mother Dairy,663.34,48.83,32390.89,138,ambient,11/26/2022,4/13/2023,438,52.79,23122.02,Tamil Nadu,Retail,225,86.28,91.7,SAFE,YES
Kerala,412.69,88,Medium,6/24/2020,6,Curd,,385.41,26.18,10090.03,6,Refrigerated,5/8/2020,2020/05/14,270,30.27,8172.9,Madhya Pradesh,Online,115,52.16,20.14,SAFE,NO
Madhya Pradesh,420.85,25,Large,1/19/2020,8,Buttermilk,Amul,367.14,41.05,15071.1,10,Refrigerated,12/1/2019,12/11/2019,309,40.75,12591.75,West Bengal,Online,58,37.27,79.56,SAFE,NO
Tamil Nadu,534.5,52,Medium,6/15/2021,1,Milk,AMUL,896.89,93.72,84056.53,28,Tetra Pack,5/22/2021,6/19/2021,486,96.08,46694.88,Telangana,Wholesale,410,26.87,92.23,SAFE,YES
Jharkhand,705.01,24,Large,5/19/2020,9,Paneer,Raj,88.69,87.53,7763.04,10,Refrigerated,4/4/2020,4/14/2020,26,87.3,2269.8,Chandigarh,Wholesale,62,31.49,106.59,SAFE,NO
Bihar,338.45,85,Small,8/8/2022,3,Cheese,Britannia Industries,220.03,13.94,3067.22,43,Frozen,01/07/2022,8/13/2022,62,14.13,876.06,Telangana,Online,158,29.59,193.62,SAFE,YES
Gujarat,30.85,41,Large,4/16/2020,4,Yogurt,amul,524.57,84.48,44315.67,28,Frozen,4/4/2020,5/2/2020,173,89.32,15452.36,Tamil Nadu,Retail,351,92.88,37.73,SAFE,YES
Karnataka,395.58,79,Small,3/3/2022,3,Cheese,Britannia Industries,879.11,90.1,79207.81,36,Frozen,2/4/2022,3/12/2022,610,91.05,55540.5,Rajasthan,Online,269,48.9,86.16,SAFE,YES
Maharashtra,276.44,80,Small,10/24/2021,6,Curd,Sudha,212.56,81.31,17283.25,5,Refrigerated,8/26/2021,8/31/2021,55,76.37,4200.35,Tamil Nadu,Online,157,18.64,64.06,SAFE,NO
Rajasthan,551.85,12,Large,11/17/2021,9,Paneer,SUDHA,886.35,62.21,55139.83,8,Refrigerated,2021/10/23,10/31/2021,845,66.7,56361.5,Jharkhand,Wholesale,41,46.25,70.4,IN DANGER,NO
Madhya Pradesh,109.69,27,Small,7/26/2022,2,Butter,,430.46,89.64,38586.43,37,Frozen,7/5/2022,8/11/2022,47,92.96,4369.12,Maharashtra,Wholesale,383,21.55,184.32,SAFE,YES
Jharkhand,15.88,90,Small,9/25/2022,2,Butter,Warana,440.42,77.46,34114.93,36,Frozen,8/20/2022,9/25/2022,246,77.53,19072.38,Chandigarh,Retail,194,88.03,53.81,SAFE,YES
Chandigarh,456.36,45,Medium,6/24/2020,6,Curd,Mother Dairy,565.23,86.39,48830.22,6,Refrigerated,5/21/2020,5/27/2020,305,84.57,25793.85,Maharashtra,Retail,260,25.75,124.9,SAFE,NO
Kerala,98.07,87,Small,1/13/2021,7,Lassi,Sudha,101.56,18.99,1928.62,14,,1/7/2021,1/21/2021,26,21.19,550.94,Tamil Nadu,Retail,75,52.26,113.92,SAFE,YES
Chandigarh,726.57,57,Large,5/25/2020,9,Paneer,Amul,770.27,80.1,61698.63,7,Refrigerated,5/2/2020,2020/05/09,557,81.76,45540.32,Madhya Pradesh,Retail,213,83.63,79.83,SAFE,NO
Delhi,509.17,41,Large,3/27/2020,2,Butter,Amul,985.95,92.69,91387.71,28,Refrigerated,2/21/2020,3/20/2020,56,96.86,5424.16,Rajasthan,Retail,929,37.94,187.73,SAFE,NO
Bihar,573.99,100,Medium,1/1/2022,9,Paneer,Mother Dairy,595.79,44.3,26393.5,12,Refrigerated,11/28/2021,12/10/2021,137,46.82,6414.34,Madhya Pradesh,Wholesale,458,91.23,73.05,SAFE,NO
